和子女王	And son queen 
国家和平与发展委员会	National Peace and Development Council 
柳濑敬之	Yanase Noriyuki 
成都高新中和	Chengdu High-tech Zhonghe 
鸟居小路信子	Nobuko Torii Koji 
池田升平	Ikeda Nobuhira 
丘吉尔兄弟体育俱乐部	Churchill Brothers Sports Club 
野津田岳人	Gakuto Notsuda 
五十岚充	Igarashi 
傲视天下二部曲	Contempt for the World Two Steps 
明温公主	Princess Mingwen 
特效化妆师大对决_(第一季)	Special Effects Makeup Artist Showdown_ (Season One) 
薄膜电晶体液晶显示器	Thin film transistor liquid crystal display 
加沙战争	War in Gaza 
第四代萨里女伯爵伊莎贝尔·德瓦伦纳	Isabel de Varenna, 4th Countess of Surrey 
伯颜_(元初)	Boyan_(Early Yuan) 
贝克斯菲尔德果酱	Bakersfield Jam 
宣统帝退位诏书	Emperor Xuantong's abdication edict 
普利茅斯-德文波特_(英国议会选区)	Plymouth-Devonport_(British Parliamentary District) 
天主教沃尔辛厄姆圣母特别主教辖区	Catholic Diocese of Our Lady of Walsingham 
南宁吴圩国际机场	Nanning Wuxu International Airport 
拿破仑八世	Napoleon VIII 
.pr	.pr 
丰田喜一郎	Toyota Kiichiro 
.pf	.pf 
巴布亚新几内亚银行	Bank of Papua New Guinea 
卢韦尔登塞体育俱乐部	Louverdense Sports Club 
嵯峨实胜	Saga Mikatsu 
冥卫一	Charon 
春去春又回	Spring is gone and spring is back 
陆星材	Lu Xingcai 
威尔海姆王子	Prince Wilhelm 
细川赖之	Hosokawa Yoshiyuki 
韩国u20国家足球队	South Korea U20 National Football Team 
巴勒斯坦总统	President of Palestine 
米哈乌_(波兰国王)	Mihav_ (King of Poland) 
即兴乐团	Improvisation 
弗里德里希·弗朗茨一世_(梅克伦堡-什未林)	Friedrich Franz I (Mecklenburg-Schwerin) 
稚高依姬尊	Childish Gao Yi Ji Zun 
陈广才	Chen Guangcai 
拜仁基督教社会联盟	Bayern Christian Social League 
英格丽·亚莉珊德拉公主	Princess Ingrid Alexandra 
细胞式类神经网路	Cellular neural network 
达米亚诺·万努奇	Damiano Vanucci 
闪电80战斗机	Lightning 80 fighter 
斯里兰卡卢比	Sri Lankan Rupee 
斯里兰卡议会	Sri Lanka Parliament 
上帝已死	God is dead 
解穴秘诀	Secrets of Relieving Points 
卡内基科学研究院	Carnegie Institute of Science 
美国参议院商业、科学及交通委员会	U.S. Senate Committee on Commerce, Science and Transportation 
圣卢西亚君主	Monarch of Saint Lucia 
哥斯达黎加足球协会	Costa Rica Football Association 
泽西镑	Jersey Pound 
董佳林	Dong Jialin 
阿部浩之	Hiroyuki Abe 
手白香皇女	Hand white incense queen 
埼玉新都心车站	Saitama Shintoshin Station 
蒙特利尔皮埃尔·埃利奥特·特鲁多国际机场	Montreal-Pierre Elliott Trudeau International Airport 
美国驻菲律宾大使	U.S. Ambassador to the Philippines 
美里町_(埼玉县)	Misato Town_ (Saitama) 
塞浦路斯阿拉伯语	Cyprus Arabic 
中国时区	China time zone 
白薇秀	Bai Weixiu 
慧安和硕公主	Hye An and Princess Hesuo 
卡尼_(内布拉斯加州)	Carney_ (Nebraska) 
夏威夷君主列表	List of Hawaiian monarchs 
天主教大学和学院协会	Association of Catholic Universities and Colleges 
东伏见宫依仁亲王	Prince Yiren Higashifushimi Palace 
电子流行乐	Electronic pop 
奥地利17岁以下国家足球队	Austrian Under-17 National Football Team 
斯里福克斯_(蒙大拿州)	Sri Fox_ (Montana) 
八乙女光	Yaotome Hikari 
教堂山	Chapel hill 
德国南部	Southern Germany 
伊玛目扎德萨利赫清真寺	Imam Zad Saleh Mosque 
jp:法成寺	jp: Facheng Temple 
afran_ismayilov	afran_ismayilov 
德国国营铁路	German National Railway 
安招里	An Zhaoli 
契苾何力	Cohesive 
埃文斯维尔_(印第安纳州)	Evansville_ (Indiana) 
南荷兰省女王专员列表	List of Queen's Commissioners of South Holland Province 
秘鲁足球协会	Peruvian Football Association 
.lr	.lr 
叶小文	Ye Xiaowen 
苍蓝钢铁战舰	Blue Steel Battleship 
郑为元	Zheng Weiyuan 
马中俊	Ma Zhongjun 
墨洛温王朝	Merovingian 
瑞士空军	Swiss Air Force 
郭再祐	Guo Zaiyou 
中分辨率成像光谱仪	Medium resolution imaging spectrometer 
渡边彻	Watanabe Toru 
清朝货币	Qing Dynasty Currency 
后鸟羽天皇	Emperor Toba 
福建各地级市地区生产总值列表	List of Regional GDP of Fujian Province 
穆巴拉克钢铁公司	Mubarak Steel Company 
胡穗珊	Hu Suishan 
鞑靼斯坦共和国国旗	Flag of the Republic of Tatarstan 
kc-767空中加油机	kc-767 aerial tanker 
新店机厂	Xindian Machinery Factory 
想婚头/lucky☆star	Want to get married/lucky☆star 
意大利19岁以下国家足球队	Italy under-19 national football team 
珀斯-金罗斯	Perth-Kinross 
王志鹏	Wang Zhipeng 
国际公立大学论坛	International Public University Forum 
采昌国际多媒体有限公司	Caichang International Multimedia Co., Ltd. 
空中巴士公司	Airbus 
弗雷德里克七世	Frederick VII 
吉普汽车	Jeep 
忽那汐里	Shiori Kutsuna 
日本海军大学校	Japanese Naval University 
许其倩	Xu Qiqian 
北奥塞梯-阿兰共和国	North Ossetia-Alania 
马克龙球场	Macron Stadium 
东帝汶原住民	Indigenous people of East Timor 
哥伦比亚20岁以下国家足球队	Colombian Under-20 National Football Team 
德国足球联赛协会	German Football League Association 
中华人民共和国第十一届运动会	The 11th Games of the People's Republic of China 
角鸮属	Horned Owl 
丰田中心	Toyota Center 
美国陆军副参谋长	Deputy Chief of Staff of the U.S. Army 
南科罗莱纳斗鸡足球会	South Colorado Cockfighting Football Club 
以色列18岁以下国家足球队	Israel Under-18 National Football Team 
科普利奖章	Copley Medal 
圣公会政体	Anglican government 
校园剧	School drama 
中国印钞造币总公司	China Banknote Printing and Minting Corporation 
伯明翰-沙特尔斯沃思国际机场	Birmingham-Shuttlesworth International Airport 
高桥壮也	Takahashi Soya 
印度国定历	Indian National Calendar 
阿伯丁足球俱乐部_(1881年)	Aberdeen Football Club_ (1881) 
长戸大幸	Daiyuki Nagato 
雪兰莪参政司	Selangor Participation Department 
100美元纸币	100 dollars banknotes 
你是我的命运_(电视剧)	You are my destiny_ (TV series) 
跳跃布鲁斯	Jumping blues 
工人体育场	Workers Stadium 
万代宏树	Bandai Hongshu 
俄亥俄大学	Ohio University 
小数贺芙由香	Fractional Hefu Yuka 
入侵义大利	Invasion of Italy 
上艾瑟尔省女王专员列表	List of Commissioners of the Queen of Overijssel 
黑暗氛围	Dark atmosphere 
阿塞拜疆足球甲级联赛	Azerbaijan Football League 
宍戸锭	Shido Ding 
科柏治	Cobbage 
奥迪q3	Audi q3 
竹内凉	Takeuchi Ryo 
李兆铨	Li Zhaoquan 
agm-65小牛飞弹	agm-65 Mavericks 
韩国航空宇宙产业	Korean Aerospace Industry 
张活海	Zhang Huohai 
广达电脑	Quanta Computer 
花房义质	Flower house 
香港二元硬币	Hong Kong Binary Coin 
张杰_(配音演员)	Zhang Jie_ (voice actor) 
莱茵河畔阿尔芬	Alfen am Rhein 
中国西南地区	Southwest China 
维拉诺瓦_(宾夕法尼亚州)	Villanova_ (Pennsylvania) 
朝鲜国防委员会委员长	Chairman of the Korean National Defense Commission 
桐谷美玲	Tong Gu Mei Ling 
广东省人民体育场	Guangdong Provincial People's Stadium 
世界河流列表	List of World Rivers 
贝鲁特法学院	Beirut Law School 
熊谷骏	Kumagai Shun 
法拉杰门钟楼	Faraj Gate Clock Tower 
舞蹈音乐	Dance music 
基尔霍夫电路定律	Kirchhoff's circuit law 
特拉斯塔马拉王朝	Trastamara 
杨嘉宁	Yang Jianing 
现代汽车	Hyundai Motor 
20欧元纸币	20 euro banknotes 
米尔顿_(肯塔基州)	Milton_ (Kentucky) 
东昌里	Dongchangli 
苏格兰20岁以下足球代表队	Scotland U20 National Football Team 
淡紫色的山脉	Lavender mountains 
中华民国临时政府_(1912–1913)	Provisional Government of the Republic of China_(1912–1913) 
缪拉亲王	Prince Murat 
萨皮县_(内布拉斯加州)	Sapi County_(Nebraska) 
伊莉莎白公主_(黑森和莱茵)	Princess Elizabeth_(Hesse and Rhein) 
老爸老妈的浪漫史_(第九季)	How I Met Your Mother_ (Season 9) 
李莫愁	Li Mochou 
坏机器人制片公司	Bad Robot Production Company 
新加坡元	Singapore Dollar 
小室正一	Shoichi Komuro 
令狐剑	Linghu Sword 
阿拉斯加州参议院	Senate of Alaska 
有理的爱情	Rational love 
中型车	Medium car 
三好吉房	Miyoshi Room 
.sb	.sb 
视频编解码器	Video codec 
eaac+	eaac + 
腓特烈·威廉二世	Frederick William II 
发展经济学	Development Economics 
彼得罗波利斯大教堂	Petropolis Cathedral 
中国共产党天津市委员会	Tianjin Municipal Committee of the Communist Party of China 
舍朱奔语支	Shezhu Ben language branch 
伊斯坦布尔海峡	Istanbul Strait 
夏尔·库赞-蒙托邦，八里桥伯爵	Charles Couzin-Montauban, Earl of Baliqiao 
沃威克_(罗得岛州)	Warwick_ (Rhode Island) 
独立流行	Independent pop 
kc运动场	kc sports field 
马蒂科里	Madikeri 
陈维安	Chen Wei'an 
tigalari字母	tigalari letters 
tvplayer	tvplayer 
金州体育场	Golden State Stadium 
美国空军参谋长	Chief of Staff of the U.S. Air Force 
坎迪杜龙敦元帅城	Marshal Candi Durodon 
秘鲁新索尔	Peruvian New Sol 
国家电视奖	National Television Awards 
中国人民解放军北部战区	Northern Theater of the Chinese People's Liberation Army 
新西兰储备银行	Reserve Bank of New Zealand 
田头忍	Tian Tou Shinobu 
泰国下议院	House of Commons of Thailand 
俄罗斯超级杯	Russian Super Cup 
谢尔比县_(田纳西州)	Shelby County_ (Tennessee) 
sbs周末特别计划剧	sbs weekend special plan drama 
意大利蓝色竞技体育场	Italian Blue Arena 
跑马地	Happy Valley 
凌志rx	Lexus rx 
朝鲜总督府	Governor-General of North Korea 
加拿大国防部	Canadian Department of Defense 
德国元帅	German Marshal 
2002年度万千星辉贺台庆	Thousands of stars in 2002 to celebrate Taiwan 
的黎波里大学	Tripoli University 
排序复选制	Sorting check system 
印度准军事部队	Indian Paramilitary Forces 
威廉·温特渥-菲茨威廉，第四代菲茨威廉伯爵	William Wentworth-Fitzwilliam, the fourth Earl of Fitzwilliam 
张千一	Zhang Qianyi 
小姊君	Little sister 
蓝鸿震	Lan Hongzhen 
曼岛总督	Governor of Isle of Man 
file:logo_bandai.gif	Fie: Ogo_Bandai. Gi f 
基尔梅斯竞技俱乐部	Kilmes Athletic Club 
大型多人线上游戏	Massively multiplayer online games 
哈萨克斯坦人民团结联盟	Kazakhstan People's Solidarity Union 
殖民地国务大臣	Colonial Secretary of State 
登嘉楼苏丹王室	Sultan of Terengganu 
马哈茂德二世	Mahmoud II 
福井县旗	Flag of Fukui Prefecture 
芬兰摇滚	Finnish Rock 
婆罗洲战役_(1945年)	Battle of Borneo_ (1945) 
丹麦的安妮	Annie of Denmark 
.bt	.bt 
西北大学	Northwest University 
框架结构	Framework 
喀山中央体育场	Kazan Central Stadium 
动态随机存取存储器	Dynamic random access memory 
衢州话	Quzhou dialect 
阿比迪甘斯球场	Abidigans Stadium 
文和	Bunna 
德国1933年授权法	German Authorization Act of 1933 
香港联赛杯	Hong Kong League Cup 
权力意志	Will to power 
甲斐谷忍	Shinobu Kaitani 
长筿之战	Battle of Changhong 
清水航平	Kohei Shimizu 
卡鲁扎-克莱因理论	Karuza-Klein Theory 
宝贝万岁	Long live baby 
黑潮音乐	Kuroshio Music 
波斯尼亚和黑塞哥维那克罗地亚民主联盟	Croatian Democratic Union of Bosnia and Herzegovina 
高地日耳曼语	Highland Germanic 
海岸巡防队	Coast Guard 
太古集团	Swire Group 
【上海市人民政府发展研究中心共建基地】	[Co-built base of Shanghai Municipal People's Government Development Research Center] 
柯西-柯瓦列夫斯卡娅定理	Cauchy-Kovalevskaya theorem 
美国众议院筹款委员会	U.S. House Ways and Means Committee 
黑暗浪潮	Dark wave 
杰克莱恩︰诡影任务	Jack Klein: Shadow Mission 
莫尔登_(英国国会选区)	Malden_(British Parliamentary District) 
sint-truiden	Sint Truiden 
圣玛加利大教堂	St. Margaret's Cathedral 
矶崎敬太	Keita Kazaki 
池田真美子	Mamiko Ikeda 
伊基达体育会	Iquida Sports Club 
北九州市立本城陆上竞技场	Kitakyushu City Lihonjo Ground Arena 
闵姓	Min surname 
车臣共和国首脑	Head of the Chechen Republic 
香港一毫硬币	Hong Kong cent coin 
永盛音像企业有限公司	Yongsheng Audiovisual Enterprise Co., Ltd. 
普拉代_(东比利牛斯省)	Pradesh (Pyrenees-Orientales) 
代数拓扑	Algebraic topology 
庆北大学	Kyungpook University 
耶路撒冷国王	King of Jerusalem 
美国国家仪器公司	National Instruments 
川岛真也	Shinya Kawashima 
法律经济学	Law and Economics 
慕尼黑市长	Mayor of Munich 
第二次意大利埃塞俄比亚战争	The Second Italian-Ethiopian War 
江门千色花足球俱乐部	Jiangmen Qiansehua Football Club 
汉密尔顿_(南拉纳克郡)	Hamilton_ (South Lanarkshire) 
顶埔站_(新北市)	Dingpu Station_(New Taipei City) 
金石良缘	Good relationship 
山形县旗	Yamagata Prefecture Flag 
福斯数码工作室	Fox Digital Studio 
国立台湾戏曲学院	National Taiwan Academy of Chinese Opera 
布卡拉曼加	Bucaramanga 
吸血鬼骑士	Vampire knight 
尼日利亚君主	Nigerian monarch 
爱尔兰选区	Irish Constituency 
德国足球协会	German Football Association 
卡塔尔首相	Prime Minister of Qatar 
剑桥大学伊曼纽尔学院	Emanuel College, University of Cambridge 
川原周刚	Shugo Kawahara 
空中加油机	Aerial tanker 
薮宏太	Yabukta 
卢森堡的杰奎塔	Jacquette of Luxembourg 
建筑有情天	Building sentimental day 
长沙南站	Changsha South Railway Station 
昂古莱姆公爵	Duke of Angoulême 
羰基硫	Carbonyl sulfide 
安托诺夫an-26	Antonov an-26 
中国西部航空	China West Air 
北欧航空	Scandinavian Airlines 
nehalem微架构	nehalem microarchitecture 
忠州长江大桥	Chungju Yangtze River Bridge 
印度尼西亚国徽	National Emblem of Indonesia 
民族乐器	tribal instrument 
塞拉利昂君主	Monarch of sierra leone 
恋夏38℃	Love Summer 38℃ 
政治家社会学家	Politician and sociologist 
易炼红	Yi Lianhong 
爱尔兰摇滚	Irish Rock 
特雷维索足球俱乐部	Treviso Football Club 
伦敦城市大学	London City University 
委内瑞拉空军	Venezuelan Air Force 
大金工业	Daikin Industry 
圣达菲足球俱乐部	Santa Fe Football Club 
阳春下乡	Yangchun to the countryside 
寿禧和硕公主	Shouxi Heshuo Princess 
松平康俊	Matsudaira Yasutoshi 
纽西兰总督	Governor of New Zealand 
娟子内亲王	Prince Juan Zi Nei 
nba最佳新秀阵容	nba rookie lineup 
中国共产党中央宣传局	Central Propaganda Bureau of the Communist Party of China 
劳贝球场	Laube Stadium 
a-4su超级天鹰式攻击机	a-4su Super Skyhawk Attack Aircraft 
黄金猪～会计检察厅·特别调查课～	Golden Pig～Accounting Prosecutors Office·Special Investigation Division～ 
联合民主党	United Democratic Party 
罗德电钢琴	Rod Electric Piano 
皮尔逊积矩相关系数	Pearson product-moment correlation coefficient 
瑞典裔芬兰人	Swedish Finnish 
东卡罗来纳大学	East carolina university 
松山进	Matsuyama Jin 
赵美心	Zhao Meixin 
菲律宾语言	Filipino language 
土耳其足球甲级联赛	Turkish Football League 
春禄战役	Battle of Chun Lu 
桥野桂	Hashino Katsura 
阮氏缘	Ruan Family 
小姐！请你给我爱	Miss! Please give me love 
汉城世界杯体育场	Seoul World Cup Stadium 
丁伊—伊拉希	Flights from Dingyi to Yilaxi 
伊拉克库尔德斯坦总统	President of Iraqi Kurdistan 
伊萨·埃利亚克乌	Issa Eliakou 
钢铁侠动力服	Iron Man Power Suit 
生活模拟游戏	Life simulation game 
正优	Zhengyou 
郭飞鸿	Guo Feihong 
尤金王子_(内尔彻公爵)	Prince Eugene_ (Duke of Nelcher) 
大理体育场	Dali Stadium 
光号列车	Light train 
奇里乞亚亚美尼亚王国	Cilicia Kingdom of Armenia 
香港验车	Hong Kong Inspection 
圣基茨和尼维斯国家足球队	Saint Kitts and Nevis National Football Team 
德萨利纳之歌	Song of De Salina 
入侵法属印度支那	Invasion of French Indochina 
李健良_(足球运动员)	Li Jianliang_ (Football Player) 
比别纳	Bibena 
新传媒电视（新加坡）私人有限公司	New Media Television (Singapore) Pte Ltd 
玛丽亚·贝娅特丽克丝_(奥地利-埃斯特)	Maria Beatrix_ (Austria-Este) 
传动轴_(2000年电影)	Drive shaft_ (2000 film) 
潘文柏	Ban Wen Kashiwa 
徐恩光	Xu Enguang 
石田真敏	Masatoshi Ishida 
瑞典足球甲级联赛	Swedish Football League 
