节奏蓝调	Rhythm and blues 
赵健成	Zhao Jiancheng 
加利福尼亚州立大学	California State University 
巴西联邦共和国	Federal Republic of Brazil 
鸭子类型	Duck type 
大田皇女	Princess Ota 
元和_(后水尾天皇)	Genna_ (Emperor Gomizuo) 
因弗内斯足球俱乐部	Inverness Football Club 
苍穹之战神	God of War 
汉传佛教	Chinese Buddhism 
武田良太	Ryota Takeda 
哈伦海布	Harlenheim 
高素历	Gao Suli 
忘情森巴舞	Forgetful Samba 
路易斯·奥尔良-布拉干萨(1878–1920)	Luis Orleans-Braganza (1878–1920) 
新李嘉图学派	Neo-Ricardo School 
尔朱兆	Erjuzhao 
新中刚史	Tsuyoshi Shinchu 
柏立基	Bai Liji 
保加利亚绿党	Bulgarian Green Party 
杨天经	Yang Tianjing 
苏联共产党中央组织局	Central Organization Bureau of the Communist Party of the Soviet Union 
巴巴多斯君主	Monarch of Barbados 
大陆会议	Continental Congress 
扎赫拉大学	Zahra University 
阿雷马足球俱乐部	Arema football club 
美国独立宣言	United States Declaration of Independence 
阿尔巴尼亚历史	History of Albania 
深圳体育场	Shenzhen Stadium 
一条朝子	A Zhaozi 
阿尔希拉尔足球俱乐部	Al Hilal Football Club 
波兰军队	Polish army 
大连金州体育场	Dalian Golden State Stadium 
恶魔的谜语	The riddle of the devil 
桥本晃一	Hashimoto Koichi 
s:国防法	s: National Defense Law 
starry☆sky	starry☆sky 
北约克郡	North Yorkshire 
肯尼亚山	Mount Kenya 
中国人民政治协商会议第一届全体会议	The First Plenary Session of the Chinese People's Political Consultative Conference 
相贺照乡	Aiga Zhaoxiang 
新普罗维登斯岛	New Providence Island 
西班牙银圆	Spanish silver round 
台湾铁路管理局车站等级	Taiwan Railway Administration Station Level 
阿拉巴马州美国众议院议员列表	List of members of the U.S. House of Representatives of Alabama 
软件更新器	Software updater 
电子角色扮演游戏	Electronic role-playing game 
中共中央组织部	Organization Department of the CPC Central Committee 
实验物理学	Experimental physics 
考彭斯战役	Battle of Cowpens 
三一学院	Trinity College 
苏州站	Suzhou Railway Station 
皇家警察	Royal police 
功绩勋章	Medal of Merit 
察觉时已是单恋	It was unrequited love when I noticed it 
卢布林联合	Lublin Union 
亚洲和太平洋地区世界遗产列表	List of World Heritage Sites in Asia and the Pacific 
小米手机3	Mi mobile phone 3 
台北市立松山高级商业家事职业学校	Taipei Songshan Advanced Commercial and Family Care Vocational School 
卡诺路球场	Cano Road Stadium 
萨克森-科堡-萨尔费尔德	Saxony-Coburg-Saalfeld 
王顺妃_(明思宗)	Concubine Wang Shun_(Ming Sizong) 
肯塔基州第四国会选区	Fourth Congressional District of Kentucky 
光崎伸	Mitsusaki Shin 
埃格伯特_(威塞克斯)	Egbert_ (Wessex) 
洛迪马克	Lodimark 
黎瑞刚	Li Ruigang 
纳尔逊省	Nelson province 
黑塔vii：黑暗之塔	Dark Tower vii: The Tower of Darkness 
总统国家安全事务助理	Assistant to the president for national security affairs 
刚果解放民主力量同盟	League of Democratic Forces of the Liberation of Congo 
朝鲜国家青年足球队	North Korea National Youth Football Team 
广濑周	Hirose Week 
内田恭兵	Kyohei Uchida 
coponius	Coponius 
固伦温宪公主	Princess Gulun Wenxian 
仁川南洞亚运会橄榄球场	Incheon Namdong Asian Games Rugby Stadium 
十一月十三	November 13 
约瑟芬·德博阿尔内	Josephine De Boarnet 
巴列奥略王朝	Valleio 
心的东方	Heart of the East 
游说集团	Lobby group 
李影_(女子足球运动员)	Li Ying_(female football player) 
直辖殖民地	Direct colony 
醋娘子	Vinegar Lady 
曾志伟_(足球运动员)	Zeng Zhiwei_ (Football Player) 
台北市私立复兴小学	Taipei Private Fuxing Primary School 
马里-皮埃尔·柯尼希	Marie-Pierre Koenig 
台湾语假名	Taiwanese Kana 
台北市私立东方高级工商职业学校	Taipei City Private Oriental Advanced Business Vocational School 
黄金海岸市政府	Gold Coast City Council 
俄罗斯联邦委员会	Russian Federation Council 
胡衡华	Hu Henghua 
台湾蓝鹊	Taiwan Blue Magpie 
吴东勋	Wu Dongxun 
芭芭拉·皮尤特施密特	Barbara Pietschmidt 
英格兰及不列颠王位继承人列表	List of heirs to the throne of England and Britain 
乙女百合	Maiden lily 
国家信访局	National Bureau of Letters and Calls 
醒狮勋刀	Lion Dancer 
久米南町	Kumenan Town 
蒋建国	Jiang Jianguo 
杜塞道夫足球俱乐部	Dusseldorf Football Club 
心肌梗死	Myocardial infarction 
astro双星	astro double star 
梁志贤	Liang Zhixian 
肃明皇后	Queen Su Ming 
瓜分波兰	Partition of Poland 
西方哲学史	F 
多用途战机	Multipurpose fighter 
向前走向爱走	Walk forward 
诺曼第的爱玛	Emma of Normandy 
教政体制	Church system 
阿布扎比大奖赛	Abu Dhabi Grand Prix 
藤原能信	Fujiwara Noshin 
苏联文化部部长	Minister of Culture of the Soviet Union 
塞萨尔巴列霍大学竞技俱乐部	Cesar Vallejo University Athletic Club 
特兰西瓦尼亚总督	Governor of Transylvania 
阿尔及利亚足球协会	Algeria Football Association 
file:emperor_guangxu.jpg	file:emperor_光绪.jpg 
金炫成	Jin Xuancheng 
做自己	be yourself 
乔治亚大学	University of Georgia 
科斯定理	Coase Theorem 
天津市南开中学	Tianjin Nankai Middle School 
韩民求	Han Minqiu 
圣克拉拉大学	Santa Clara University 
舞蹈流行	Dance pop 
第几次的蓝天？	How many times is the blue sky? 
勃艮第的安斯加尔德	Ansgard of Burgundy 
欧洲足协杯	UEFA Cup 
第二届阿米尔·谢里夫丁内阁	The Second Cabinet of Amir Sharifuddin 
福元美穗	Fukumoto Miho 
朝鲜半岛军衔比较	Comparison of military ranks on the Korean Peninsula 
美国联邦军事院校	U.S. Federal Military Academy 
攻壳机动队_(美国电影)	Ghost in the Shell_ (American Movie) 
切尔诺莫雷足球俱乐部	Chernomore Football Club 
伦敦市议会	London City Council 
加速规	Accelerometer 
詹姆斯敦_(圣赫勒拿)	Jamestown_ (St. Helena) 
廖安丽	Liao Anli 
南洋理工大学	Nanyang Technological University 
朴哲民_(足球运动员)	Park Cheolmin_ (Football Player) 
中川秀直	Hidenao Nakagawa 
米尔顿凯恩斯西南_(英国国会选区)	Milton Keynes Southwest_(British Parliamentary District) 
肯塔基河	Kentucky river 
弗雷德里克·弗朗索瓦-马绍尔	Frederic Francois-Marshall 
爱尔兰根纲领	Irish Root Program 
中-东马来-波利尼西亚语支	Central-East Malay-Polynesian 
纽约宇宙	New York Universe 
新威斯敏斯特	New Westminster 
土耳其超级杯	Turkish Super Cup 
撒哈拉语族	Saharan 
gangbuster	Just buster 
达马苏斯二世	Damasus II 
潘凯恩	Pan Kane 
高进永	Takashinaga 
我的野蛮妈咪	My savage mom 
平面网格阵列封装	Planar Grid Array Package 
乌克兰摇滚	Ukrainian Rock 
相爱又如何	How about love 
贡萨格大学	Gonzaga University 
坎培拉体育场	Canberra Stadium 
吴登盛	Wu Thein Sheng 
高级着色器语言	High-level shader language 
印度尼西亚总统	President of Indonesia 
类刚果南方语支	Southern Congolese 
梁启超墓	Tomb of Liang Qichao 
mp魔幻力量	mp magic power 
肯塔基州第8国会选区	Kentucky's 8th Congressional District 
曹国公主	Princess Cao 
钢弦吉他	Steel string guitar 
空间摇滚	Space rock 
特薛禅	Te Xuechan 
戴美玉	Dai Meiyu 
淳皇后	Queen Jun 
柳俊秀	Liu Junxiu 
祐子内亲王	Yuko Naishinnō 
黄金唱片	Golden record 
尼克希奇足球俱乐部	Niksic Football Club 
斯巴达体育场_(吉尔吉斯)	Spartan Stadium_ (Kyrgyzstan) 
阿尔及利亚共和国临时政府	Provisional Government of the Republic of Algeria 
雏鸟乐队	Chicks 
李亨根	Li Henggen 
常陆宫	Hitachi Palace 
情人眼里高一d	One d high in the eyes of the lover 
黎维祎	Li Weiyi 
两圣地监护人	Guardian of the Two Holy Lands 
标致308	Peugeot 308 
荷兰中央银行	Dutch Central Bank 
精选辑	Featured 
循化撒拉族自治县	Xunhua Salar Autonomous County 
渠成_(足球运动员)	Qu Cheng_ (football player) 
西方哲学家	Western philosopher 
志免町	Shime Town 
折户伸治	Shinji Orito 
文山壮族苗族自治州	Wenshan Zhuang and Miao Autonomous Prefecture 
拿骚王朝	Nassau Dynasty 
台闽汉字	Taiwan and Fujian characters 
乌汶叻公主	Ubon Ratchathani Princess 
莉姆·阿里王妃	Princess Lim Ali 
小松宫彰仁亲王	Prince Akihito Komatsu 
余嘉慧	Yu Jiahui 
赫罗尔斯城堡球场	Herrols Castle Stadium 
巴斯特尔_(圣基茨和尼维斯)	Basseterre (Saint Kitts and Nevis) 
乌克兰东正教	Ukrainian Orthodox Church 
美国民主党副总统候选人	Democratic vice presidential candidate 
松原后	After Matsubara 
新加坡教育部	Singapore Ministry of Education 
阿尔泰共和国国旗	Flag of the Altai Republic 
美国的女子学院	American Women's College 
台风桑达_(2011年)	Typhoon Sundar_ (2011) 
s:国防部组织法	s: Organic Law of the Ministry of Defense 
通用电气公司t700	General Electric Company t700 
山野边义正	Yamanobe Yoshimasa 
武辉全	Wu Huiquan 
锂离子聚合物电池	Lithium ion polymer battery 
黄万伯	Huang Wanbo 
捷克足球协会	Czech Football Association 
犀利人妻	Fierce wife 
河北各地级市地区生产总值列表	List of regional GDP of each city in Hebei 
继业者	Successor 
芬兰大公	Grand Duke of Finland 
美国劳工部	U.S. Department of Labor 
贞元_(圆融天皇)	Sadamoto _ (Emperor Yuanrong) 
罗贝托大公_(奥地利-埃斯特)	Grand Duke Roberto_ (Austria-Este) 
竹中工务店	Takenaka Engineering Store 
藤原冰上娘	Fujiwara Ice Lady 
冨山达行	Laoshan Daxing 
八代六郎	Yashiro Rokuro 
凡尔赛条约	Treaty of Versailles 
章柏翰	Zhang Bohan 
瑟德港足球俱乐部	Soderport Football Club 
坦布里奇韦尔斯_(英国国会选区)	Tunbridge Wells_ (British Parliamentary District) 
缅甸行政区划	Administrative divisions of Myanmar 
多功能休旅车	Multifunctional RV 
格林县_(密苏里州)	Green County_(Missouri) 
盎格鲁-撒克逊人	Anglo-Saxon 
.jm	.jm 
中华人民共和国司法行政机关	Judicial Administration of the People's Republic of China 
美国邮区编码	U.S. ZIP Code 
紫草	Comfrey 
伏瓦德斯瓦夫·拉奇凯维奇	Vladslaw Rackiewicz 
萨瓦德尔足球俱乐部	Sabadell Football Club 
横山知伸	Yokoyama Chinobu 
五世王勋章	Order of King V 
达尔豪西大学	Dalhousie University 
周铁根	Zhou Tiegen 
中央美拉尼西亚	Central Melanesia 
川村荣二	Kawamura Eiji 
玛莉外宿中	Mary is staying out 
发展心理学	Developmental psychology 
美国海军部	U.S. Department of the Navy 
梁嘉琪	Liang Jiaqi 
亚历山大·戈尔·霍尔-鲁思文，第一代高里男爵	Alexander Gore Hall-Ruthven, the first Baron Gaurie 
亚历山大·赖德律-洛兰	Alexander Ryder-Lorland 
巴巴朗斯联合	Barbarance United 
二宫体育中心	Ninomiya Sports Center 
森本章之	Akiyuki Morimoto 
游戏机历史_(第五世代)	Game console history_ (fifth generation) 
浪速语	Naniwa 
中国国际电视总公司	China International Television Corporation 
和谐号crh380c型电力动车组	Harmony crh380c electric train set 
柏林围墙	Berlin Wall 
三间雅文	Sanjian Yawen 
尼日利亚众议院	Nigerian House of Representatives 
为随里	Wei Sui Li 
新加坡日占时期	Singapore's Japanese Occupation Period 
李英宗	Li Yingzong 
英国自由党	British Liberal Party 
后圆融天皇	Emperor Yuanrong 
格林斯比镇足球俱乐部	Greensby Town Football Club 
英格兰历史上的郡	County in England History 
国际扎普雷希奇足球俱乐部	International Zapresic Football Club 
ダニルソン	Danilson 
卡尔顿·梅利克三世	Carlton Melik III 
美国参议院军事委员会	U.S. Senate Armed Services Committee 
仙境影视公司	Wonderland Film and Television Company 
爱的再告白	Love again 
富士五湖	Fuji Five Lakes 
穆为民	Mu Weimin 
明尼苏达大学系统	University of Minnesota System 
西北伊朗语支	Northwestern Iranian 
南日德兰郡	South Jutland 
纽黑文机场	New Haven Airport 
第七代哈伍德伯爵乔治·拉塞尔斯	George Russels, 7th Earl of Harwood 
莱娜·耶尔姆-瓦伦	Lena Jerm-Valen 
武大伟	Wu Dawei 
纽芬兰岛	Newfoundland 
胡亚东	Hu Yadong 
fushë-bardhë	Field-White 
爱尔兰自由邦君主	Monarch of the Free State of Ireland 
冰岛商业高等专科学校	Iceland Business College 
阿富汗独立日	Afghanistan Independence Day 
石井康晴	Yasuharu Ishii 
平木一树	Hiraki Kazuki 
伊拉克国王	King of Iraq 
福冈机场	Fukuoka Airport 
吉马良斯维多利亚	Guimaraes Victoria 
大鳄町	Owani Town 
路德维格·霍尔斯泰因-莱德伯格	Ludwig Holstein-Leidberg 
.bz	.bz 
轻柔摇滚乐	Soft rock 
林肯镇区_(塞奇威克县)	Lincoln Township_ (Sedgwick County) 
孟加拉空军	Bangladesh Air Force 
以弗所	Ephesus 
克雷格_(科罗拉多州)	Craig_ (Colorado) 
安山木槿花足球俱乐部	Ansan Mugunghwa Football Club 
冈山路竹延伸线	Okayama Road Bamboo Extension Line 
维托里奥·阿梅迪奥三世	Vittorio Amedio III 
俄罗斯政府首脑列表	List of heads of government of Russia 
明道加斯·米凯拉	Mindaugas Michaela 
天普大学	Temple University 
李健恒	Li Jianheng 
夏洛特郡主_(瓦伦丁女公爵)	County Lord Charlotte_ (Duke of Valentin) 
非洲蓝调	African Blues 
第一届全国人民代表大会常务委员会	Standing Committee of the First National People's Congress 
大众高尔夫	Volkswagen Golf 
当代基督教音乐	Contemporary christian music 
段君毅	Duan Junyi 
悯郡王	King Min 
伊拉斯谟计划	Erasmus Project 
阿拉伯语变体	Arabic variants 
易卜拉欣·贾法里	Ibrahim Jafari 
台湾桃园国际机场	Taiwan Taoyuan International Airport 
美国东北部	Northeastern United States 
h&r	h&r 
原来爱·就是甜蜜	So love is sweet 
足利义持	Ashikaga Yoshimochi 
德国公共广播联盟	German Public Broadcasting Union 
纽马克特_(昆士兰州)	Newmarket_ (Queensland) 
泡桐属	Paulownia 
和硕和婉公主	Princess Heshuo and Wan 
亚洲田径锦标赛	Asian Athletics Championships 
国立武昌商科大学	National Wuchang University of Commerce 
庞士榤	Pang Shilu 
阿尔巴尼亚君主列表	List of monarchs of Albania 
陈慧瑛	Chen Huiying 
松波春子	Haruko Matsunami 
伊朗专家会议	Iranian Expert Meeting 
.fo	.fo 
马泰乌奇奖章	Mateuch Medal 
埃克哈特大师	Master Eckhart 
陈水扁政府	Chen Shuibian Government 
加速世界	Speed up the world 
利雅得艾沙比足球会	Riyadh Al Shabi Football Club 
后现代主义	Postmodernism 
2004年夏季奥林匹克运动会	2004 Summer Olympic Games 
亨德森_(肯塔基州)	Henderson_ (Kentucky) 
马丁公司	Martin Corporation 
伊拿克里斯足球会	Enakris Football Club 
东平里_(旗山区)	Dongpingli_(Qishan District) 
高敬命	High respect 
圣马力诺足球总会	San Marino Football Association 
揖斐川町	Ibigawa Town 
权良淑	Quan Liang Sook 
京成电铁	Keisei Electric Railway 
拉丁摇滚	Latin Rock 
用户界面	User Interface 
鹰司景子	Keiko Takatsukasa 
西村了	West Village 
kağan_söylemezgiller	kagan_söylemezgiller 
台北市役所	Taipei City Office 
德川色许姬	Tokugawa Sekiji 
金平一	Kim Pyong Il 
丁懋时	Ding Maoshi 
赵澯镐	Zhao Luohao 
元成宗	Yuan Chengzong 
伊丽莎白镇_(肯塔基州)	Elizabethtown_(Kentucky) 
列克提克亚语支	Lektician 
分时长期演进	Time-sharing long-term evolution 
三立戏剧台	Sanli Theatre 
中华台北足球代表队	Chinese Taipei National Football Team 
康拉德_(萨克森-迈宁根)	Conrad_(Saxony-Meiningen) 
吉塞拉_(路易二世之女)	Gisela_ (daughter of Louis II) 
阿拿翁薛胡	Anaoong Xuehu 
桑特堡战役	Battle of Fort Sant 
巴基斯坦制宪议会	Pakistan Constituent Assembly 
乔治·莱诺克斯勋爵	Lord George Lenox 
拜欧拉大学	Biola University 
非都市区	Non-urban area 
北安普顿县_(宾夕法尼亚州)	Northampton County_(Pennsylvania) 
