桥本由香利	Hashimoto Yukari 
田上町	Tagami Town 
専修大学	Senshu University 
阿德莉萨_(诺曼底)	Adelisa _ (Normandy) 
img足球学院	img Football Academy 
çapa	anchor 
紧凑型轿车	Compact car 
罗杰·莫蒂默，第一代马奇伯爵	Roger Mortimer, the first Earl of March 
泊松括号	Poisson bracket 
铃木幸太	Suzuki Kota 
飞利浦体育馆	Philips Stadium 
印度联邦院	Indian Federal Council 
日剧台	Japanese TV 
恭顺皇贵妃	Respectful to the imperial concubine 
泊松回归	Poisson regression 
新加坡慈善盾	Singapore Charity Shield 
博特夫足球俱乐部	Botev Football Club 
德克萨斯州大学	University of Texas 
费尔维尤镇区_(堪萨斯州巴特勒县)	Fairview Township_ (Butler County, Kansas) 
宪仁亲王妃久子	Princess Hyun Ren Hisako 
洪卡足球俱乐部	Honka Football Club 
学生工党	Student Labor Party 
武汉天河国际机场	Wuhan Tianhe International Airport 
奥兰治亲王	Prince of Orange 
佟图赖	Tong Tulai 
中欧时间	Central European Time 
猎户座飞船	Orion spacecraft 
阿纳斯塔修斯一世	Anastasius I 
民主党_(大韩民国2000年)	Democratic Party_ (Republic of Korea 2000) 
夏威夷州州长	Governor of Hawaii 
江南七怪	Seven Monsters of Jiangnan 
吴超荣	Wu Chaorong 
美国归正会	Reformed Church of America 
美国陆军指挥参谋学院	U.S. Army Command and Staff College 
政制及内地事务局	Constitutional and Mainland Affairs Bureau 
朝鲜民主主义人民共和国最高领导人	Supreme Leader of the Democratic People's Republic of Korea 
标准线性固体模型	Standard linear solid model 
艺能娱乐	Arts Entertainment 
桂林里_(小港区)	Guilin_(Xiaogang District) 
c-band	c-band 
圣文森特和格林纳丁斯君主	Monarch of Saint Vincent and the Grenadines 
坏女人好女人	Bad woman good woman 
塔那	Thane 
秋山真之	Akiyama Saneyuki 
btooom!	btooom! 
虚位元首	Phantom head 
英国音乐	British music 
波兰海军	Polish Navy 
秘鲁太阳勋章	Peruvian Sun Medal 
圣心天主教大学	Catholic University of the Sacred Heart 
综合企业	Integrated enterprise 
科尔内拉-埃尔普拉特球场	Cornella-El Prat Stadium 
大上海	Big Shanghai 
刘官女子	Liu Guan Women 
我家小孩有够多!大家族奋斗记	There are enough children in my family! The struggle of a big family 
基尔大学	Keele University 
天津市区	Tianjin City 
英属洪都拉斯总督	Governor of British Honduras 
大宅皇女	Mansion Queen 
英属奎亚那政府秘书	Secretary of the Government of British Quinana 
匈牙利国旗	Hungarian flag 
邓迪足球俱乐部	Dundee Football Club 
精神疗法	Psychotherapy 
中国共产党中山市委员会	Zhongshan City Committee of the Communist Party of China 
欧律狄刻_(阿明塔斯三世之妻)	Eurydice_ (Wife of Amintas III) 
草野博纪	Hironori Kusano 
坂田谦人	Yoshito Sakata 
麦斯·彭利拿	Max Penlina 
reinhardsbrunn	reinhardsbrunn 
奥巴马峰	Obama Peak 
水主皇女	Princess Minushi 
行为矫正疗法	Behavior modification therapy 
冰岛社会事务部	Icelandic Ministry of Social Affairs 
奥地利u17足球代表队	Austria U17 National Football Team 
西门菲沙大学	Simon Fraser University 
尹启铭	Yin Qiming 
市川昌永	Masanaga Ichikawa 
利氏冷凝管	Leech condenser 
查尔斯·皮尔庞特，第一代曼弗斯伯爵	Charles Pierpont, the first Earl of Manvers 
北柏柏尔语支	North Berber 
何宗就	He Zongjiu 
王冠球场	Crown Stadium 
加平战斗	Gapyeong battle 
橙县_(佛罗里达州)	Orange County_(Florida) 
郝廉思	Hao Liansi 
狄西德里乌斯	Dissidrius 
佐佐木彩夏	Sasaki Ayaka 
斯巴达克同盟	Spartak League 
色格拉布鲁日皇家体育会	Royal Athletic Club of Brugge 
多纳尔森堡战役	Battle of Fort Donaldson 
节奏游戏	Rhythm game 
瑟罗克议会	Thurrock Council 
安全皇后	Security queen 
应用数学	applied mathematics 
奈良县旗	Nara Prefecture Flag 
拉脱维亚银行	Bank of Latvia 
雅典的普卢塔赫	Plutakh 
圭亚那君主	Monarch of Guyana 
伊藤畅达	Ito Chanda 
上莱茵省	Haut-Rhin 
卡尔皮足球俱乐部	Carpi Football Club 
须江信人	Xujiang Xinren 
tydal	tydal 
命令与征服：泰伯利亚之日	Command and Conquer: Tiberium Day 
菲律宾地理	Philippine Geography 
美国参议院情报挑选委员会	U.S. Senate Intelligence Selection Committee 
公告牌二百强专辑榜	Billboard Top 200 Albums Chart 
尼菲治巴库足球俱乐部	Nefici Baku Football Club 
国家杂志奖	National Magazine Awards 
半自动手枪	Semi-automatic pistol 
雅赫摩斯-西特卡摩斯	Yahmos-Sit Camos 
国立台湾大学医学院	National Taiwan University College of Medicine 
卓克索大学	Jokzo University 
同生不共死	Live without death 
保罗·拉马迪埃	Paul Ramadier 
印巴分治	Divide and conquer India and Pakistan 
卢森堡大公宫殿	Grand Ducal Palace of Luxembourg 
都柏林市政厅	Dublin City Hall 
三维计算机图形	Three-dimensional computer graphics 
修·基斯-拜伦	Hugh Keith-Byron 
香港高等法院	Hong Kong High Court 
费索·本·侯赛因王子	Prince Faso Bin Hussein 
冲绳县旗	Flag of Okinawa Prefecture 
北爱尔兰行政区划	Administrative divisions of Northern Ireland 
wikt:山东	wikt: Shandong 
菲律宾军事功绩勋章	Philippine Medal of Military Merit 
马丁四世	Martin IV 
莱耶华伦球场	Layer Warren Stadium 
威廉·佩蒂，第二代谢尔本伯爵	William Petty, 2nd Earl of Metabolism Urban 
游戏设计	game design 
日本鹡鸰	Japanese Wagtail 
大坪里	Dapingli 
撒旦之子	Son of Satan 
高雄捷运林园延伸线	Kaohsiung MRT Linyuan Extension Line 
后庞克	Post-punk 
互联网电影数据库	Internet Movie Database 
乌拉圭20岁以下国家足球队	Uruguay Under-20 National Football Team 
芬兰-伏尔加语支	Finnish-Volga branch 
古典经济学	Classical economics 
色麻町	Shikama Town 
灿烂的遗产	Splendid legacy 
日本朝鲜族	Japanese Korean 
克罗地亚共产主义者联盟	Croatian Communist League 
意大利20岁以下国家足球队	Italy under-20 national football team 
鹰石娱乐	Eagle Rock Entertainment 
威斯巴登体育俱乐部	Wiesbaden Sports Club 
久木田绅吾	Shingo Kukita 
周采诗	Zhou Caishi 
拉阿鲁哇语	La Aruwa 
博雷尔测度	Borrell measure 
圣玛丽球场	St. Mary's Stadium 
巴基斯坦空军	Pakistan Air Force 
分析力学	Analytical mechanics 
卡-31直升机	Ka-31 helicopter 
巴什科尔托斯坦共和国	Republic of Bashkortostan 
纲田大志	Tsunada Taishi 
奥地利的凯瑟琳_(1533年–1572年)	Catherine of Austria (1533–1572) 
c++builder	c++builder 
哈萨克甲组足球联赛	Kazakh Football League 
那班道尔吉·扎丹巴	Nabandorji Zadamba 
香港公开大学	The Open University of Hong Kong 
陈旭_(女学者)	Chen Xu_ (Female Scholar) 
曰云	Yueyun 
香港青年军	Hong Kong Youth Army 
qt发展框架	qt development framework 
巴基斯坦行政区划	Administrative divisions of Pakistan 
乔瑟夫·高登-李维	Joseph Gordon-Levy 
福冈证券交易所	Fukuoka Stock Exchange 
北美洲语言	North American languages 
奥里韦拉足球俱乐部	Orihuela Football Club 
重庆市人民大礼堂	Chongqing People's Auditorium 
朱希华	Zhu Xihua 
兹诺伊莫足球俱乐部	Znojmo Football Club 
帕斯卡定理	Pascal's Theorem 
伊莉诺-摩雷基-宁蒙德女爵	Lady Illinois-Morekey-Ningmond 
韩泰轮胎	Hankook Tire 
哥特小说	Gothic fiction 
j4	j4 
道路通行方向	Road traffic direction 
东伦敦	East London 
伯明翰业馀足球总会	Birmingham Amateur Football Association 
松平容保	Matsudaira Katamori 
普韦布洛_(科罗拉多州)	Pueblo_ (Colorado) 
j2000.0	j2000.0 
成都体育学院	Chengdu Institute of Physical Education 
加州艺术学院	California Academy of Arts 
喜来登阿勒颇酒店	Sheraton Aleppo Hotel 
斯泰伦博斯大学	Stellenbosch University 
滨海湾浮动舞台	Marina Bay floating stage 
哥本哈根学院足球会	Copenhagen Academy Football Club 
第二届阿里·沙斯特罗阿米佐约内阁	The 2nd Ali Shastro Amizoyo Cabinet 
高速上行分组接入	High-speed uplink packet access 
中山佳久	Zhongshan Jiajiu 
比尤特-银弓市和县_(蒙大拿州)	Butte-Silver Bow City and County_ (Montana) 
雷诺方程式2.0西欧杯	Formula Renault 2.0 West European Cup 
星际争霸系列	StarCraft Series 
吕珊德拉	Lusandra 
乳源瑶族自治县	Ruyuan Yao Autonomous County 
中华民国交通部部长	Minister of Transport of the Republic of China 
班克斯_(澳大利亚国会选区)	Banks_ (Australian Parliamentary Constituency) 
uttarakhandi	Uttarakhandi 
子午圈_(科罗拉多州)	Meridian Circle_ (Colorado) 
民族自治地方	Ethnic autonomous areas 
美国动视	Activision 
东北贝德福德郡_(英国国会选区)	Northeast Bedfordshire_(British Parliamentary District) 
杨天啸	Yang Tianxiao 
叶祖新	Ye Zuxin 
尤文图斯球场	Juventus Stadium 
美国参议员	U.S. Senator 
山本権兵卫	Yamamoto Gonnohye 
莫斯科中央陆军	CSKA Moscow 
法国足球联赛系统	French Football League System 
佛教自由民主党	Buddhist Liberal Democratic Party 
泰格伍兹高尔夫巡回赛	Tiger Woods Golf Tour 
鸿准精密工业	Hongzhun Precision Industry 
中华人民共和国中央人民政府	The Central People's Government of the People's Republic of China 
岩垂寿喜男	Sukio Iwataru 
electrofunk	electrofunk 
昌原足球运动场	Changwon Football Stadium 
堪萨斯市皇家	Kansas City Royals 
格陵兰地理	Geography of Greenland 
苏格兰国教会	National Church of Scotland 
庄顺皇贵妃	Imperial Concubine Zhuang Shun 
新灵魂乐	New Soul 
孔切肖	Concesio 
加山兴行会社	Kayama Toko Company 
日本年号列表	List of Japanese era names 
凯萨酋长足球俱乐部	Caesars Football Club 
阿鲁辛·科芬拿	Arushin Cofina 
马素尔科多	Masulcodo 
提斯利大学	Tishley University 
邓进东	Deng Jindong 
澳大利亚联邦	Commonwealth of Australia 
弗朗西斯·戈多尔芬·奥斯本，第五代利兹公爵	Francis Godolphine Osborne, the fifth Duke of Leeds 
热那亚足球会	Genoa Football Club 
奥地利大公国	Grand Duchy of Austria 
织田信行	Oda Nobuyuki 
阿玛琳王后	Queen Amarin 
西部开发	Western Development 
民主左派联盟	Democratic Left League 
迈帕足球俱乐部	Maipa Football Club 
欧元纸币	Euro banknotes 
2012年夏季奥林匹克运动会女子足球比赛	Women's football match at the 2012 Summer Olympics 
堤幸彦	Yukihiko Tsutsumi 
日本自由党_(1953年)	Liberal Party of Japan (1953) 
灵元天皇	Emperor Lingyuan 
里奥拉古大学	Rio Lago University 
阿尔及利亚国徽	National Emblem of Algeria 
南华梦飞翔	South China Dream Flying 
乌尔巴诺八世	Urbano VIII 
里斯本奥利安图足球会	Lisbon Oleanto Football Club 
北京慈文影视制作有限公司	Beijing Ciwen Television Production Co., Ltd. 
巴西君主列表	List of Brazilian monarchs 
火神运载火箭	Vulcan Launch Vehicle 
合成器流行	Synthesizer Pop 
暴风雨_(池上永一)	Tempest_(Eiichi Ikegami) 
平田东助	Hirata Tosuke 
加拿大环境部	Environment Canada 
毁灭公爵	Duke of Destruction 
梁咏珊	Liang Yongshan 
堀之纪	Horinoki 
孙玦新	Sun Yuexin 
美国联邦巡回法院	U.S. Federal Circuit 
孤立语言	Isolated language 
悲惨世界	Les Miserables 
黑岩善宏	Kuroiwa Zenhiro 
内斯托尔·马赫诺	Nestor Makhno 
南胜里	Nanshengli 
自由党_(日本1998年)	Liberal Party_ (Japan 1998) 
金边王宫	Royal Palace of Phnom Penh 
圣母无染原罪瞻礼	Feast of the Immaculate Conception 
真卡布历基	Real Kabriki 
阿娣	Adi 
天国之吻	Heavenly kiss 
苏丹玛末	Sultan Mahmud 
罪案调查	Crime investigation 
约翰·汤普森_(澳大利亚政治家)	John Thompson_ (Australian politician) 
脱离轨道	Off track 
港灯体育会	Hongkong Electric Sports Association 
新殖民主义	Neocolonialism 
越南军校	Vietnam Military Academy 
东山纪之	Higashiyama Kiyuki 
坚盐媛	Ken Yanyuan 
美国联赛杯	American League Cup 
巴斯爵级大十字勋章	Grand Cross of Bath 
公共交通	Public transit 
九曲里	Jiuquli 
完全娱乐	Full entertainment 
电视出品人	TV Producer 
国际tex用户组	International tex user group 
南非国王	King of South Africa 
国道319线	National Highway 319 
危机边缘各集列表	List of episodes on the verge of crisis 
米拉马尔米西奥内斯体育俱乐部	Miramar Misiones Sports Club 
库克山航空	Mount Cook Airlines 
glostrup	glostrup 
贵州人和足球俱乐部	Guizhou Renhe Football Club 
斯洛伐克足球甲级联赛	Slovak Football League 
达喀尔区	Dakar District 
苏格兰副首席部长	Deputy Chief Minister of Scotland 
洪志相	Hong Zhixiang 
哥路达	Grotta 
野路菊	Chrysanthemum Noji 
他可·盖茨	Tak Gates 
不确定性原理	Uncertainty principle 
凯霍加县	Cuyahoga County 
中国共产党中央军事委员会副主席	Vice Chairman of the Central Military Commission of the Communist Party of China 
亚历山德里亚_(弗吉尼亚州)	Alexandria_ (Virginia) 
塞尔维亚国家银行	National Bank of Serbia 
md6	md6 
匈牙利王国_(1920年—1946年)	Kingdom of Hungary_ (1920-1946) 
府中町	Fuchu Town 
越后汤泽车站	Echigo Yuzawa Station 
荣誉勋章	Medal of Honor 
普罗旺斯的贝亚特丽丝	Beatrice of Provence 
和佐野健一	Kenichi Wasano 
海老泽健次	Kenji Ebisawa 
小海女	Little sea girl 
clipse	clipse 
地质构造	Geological structure 
罗伯特·盖斯科因-塞西尔，第五代索尔兹伯里侯爵	Robert Gascoyne-Cecile, the fifth Marquis of Salisbury 
重庆航空	Chongqing Airlines 
川副德子	Toko Kawasoe 
港海豹	Harbor seal 
英荷条约	Anglo-Dutch Treaty 
哈密尔顿国际机场	Hamilton International Airport 
杨振声(助理编导)	Yang Zhensheng (Assistant Choreographer) 
线上学习	Online learning 
中国人民解放军东部战区	Eastern Theater of the Chinese People's Liberation Army 
海峡殖民地总督	Governor of the Straits Settlements 
米兰统治者列表	List of rulers of Milan 
普鲁士总理	Prime Minister of Prussia 
城市地位	City status 
东南斯拉夫亚语支	Southeastern Slavic 
日本自由党_(1945年)	Liberal Party of Japan_ (1945) 
兄弟战争	war between brothers 
道语言	Tao language 
卫子夫_(电视剧)	Wei Zifu_ (TV series) 
松平喜德	Matsudaira Nobunori 
类型推论	Type inference 
史酷比	Scooby Doo 
德克萨斯大学法学院	University of Texas Law School 
种子音乐	Seed music 
地球队长	Captain 
环境光传感器	Ambient light sensor 
国立西南联合大学	National Southwest Associated University 
拉姆福德奖	Rumford Prize 
南城街道_(东莞市)	Nancheng Street_(Dongguan City) 
阿布哈兹民族团结论坛	Abkhaz National Unity Forum 
file:明宣宗画像.jpg	file:Ming Xuanzong portrait.jpg 
psapp	psapp 
黄文太	Huang Bunta 
白米里	Bai Mili 
阿斯图里亚斯君主列表	List of Asturian monarchs 
大山崎町	Oyamazaki Town 
罗金汉侯爵	Marquis of Rockingham 
新光里_(旗山区)	Xinguangli_(Qishan District) 
神话再现	Myth reappearance 
海岛大亨	Island Tycoon 
醇贤亲王	Prince Jinxian 
致命玩笑	Fatal joke 
美国证券交易委员会	U.S. Securities and Exchange Commission 
直布罗陀首席部长	Chief Minister of Gibraltar 
s:中华民国总统府组织法	s: Organic Law of the Presidential Palace of the Republic of China 
三好市_(爱知县)	Miyoshi City_(Aichi Prefecture) 
梅阿查球场	Meazza Stadium 
斯洛文尼科学及艺术研究院	Slovenian Academy of Science and Art 
克赫历程	Kehe course 
戈亚尼恩斯竞技俱乐部	Goianians Athletic Club 
黑森林体育场	Black Forest Stadium 
迈克尔·哈弗斯，哈弗斯男爵	Michael Havers, Baron Havers 
冰岛卫生和社会保险部	Ministry of Health and Social Insurance of Iceland 
廖素惠	Liao Suhui 
西雅图水手	Seattle Mariners 
白俄罗斯文	Belarusian 
行为经济学	Behavioral Economics 
科科斯（基林）群岛	Cocos (Keeling) Islands 
控股公司	Holding company 
全美大学体育协会	National College Athletic Association 
冲田智	Okita Chi 
参议院少数党党鞭	Senate Minority Whip 
纽约市立大学	City University of New York 
钱达尔勒·卡拉·哈利勒·海雷丁帕夏	Chandar Kara Khalil Heredin Pasha 
艾萨克区政府	Isaac District Government 
牛顿大学	University of Newton 
utc±0	utc±0 
纽约上州	Upstate New York 
英国驻美大使列表	List of British Ambassadors to the United States 
美国联盟中区	American League Central 
越南独立同盟	Vietnam Independence League 
金砖国家大学联盟	BRICS University Alliance 
开放国民党	Open National Party 
必娶女人	Must marry a woman 
自由印度临时政府	Free India Provisional Government 
李建欣	Li Jianxin 
蕙兰属	Cymbidium 
端恪皇贵妃	Emperor Duanke 
英格兰联赛挑战杯	England League Challenge Cup 
